poligono_id,anio,superficie_construida_km2,superficie_vegetacion_km2,edificios_total,confianza_inferior,confianza_superior
itaembe_guazu,2021,0.8382,6.8035,8382,7124,9640
itaembe_guazu,2022,0.8954,6.7463,8954,7610,10298
itaembe_guazu,2023,0.9033,6.7384,9033,7678,10388
itaembe_guazu,2024,0.9041,6.7376,9041,7684,10398
itaembe_guazu,2025,0.9043,6.7374,9043,7686,10400
posadas_completa,2018,3.901,102.5587,39010,33137,44883
posadas_completa,2019,4.6248,101.8349,46248,39291,53205
posadas_completa,2020,4.7627,101.697,47627,40463,54791
posadas_completa,2021,5.1172,101.3425,51172,43474,58870
posadas_completa,2022,5.2493,101.2104,52493,44594,60392
posadas_completa,2023,5.4048,101.0549,54048,45919,62177
posadas_completa,2024,5.5962,100.8635,55962,47548,64376
posadas_completa,2025,5.6642,100.7955,56642,48124,65160
