poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
complejo_gervasio_artigas,2026-07,,,,,0,0,0.1.0,2026-04-28T09:53:00
complejo_habitacional_virgen_de_fatima,2018-07,-6.332680393435737,-15.481199903565583,9.148519510129848,,8,8,0.1.0,2026-04-28T09:50:58
complejo_habitacional_virgen_de_fatima,2019-07,-5.7317770827725845,-15.11012150784266,9.378344425070075,0.6009033106631527,2,2,0.1.0,2026-04-28T09:50:59
complejo_habitacional_virgen_de_fatima,2020-07,-5.786811668797744,-14.861824144449985,9.07501247565224,-0.055034586025159093,6,6,0.1.0,2026-04-28T09:51:00
complejo_habitacional_virgen_de_fatima,2021-07,-6.391674290020958,-15.360091550183782,8.968417260162823,-0.6048626212232149,7,7,0.1.0,2026-04-28T09:51:01
complejo_habitacional_virgen_de_fatima,2022-07,-6.341847943952951,-14.936649814751355,8.594801870798406,0.04982634606800751,3,3,0.1.0,2026-04-28T09:51:02
complejo_habitacional_virgen_de_fatima,2023-07,-6.098597673577093,-14.76135142753305,8.662753753955958,0.24325027037585834,7,7,0.1.0,2026-04-28T09:51:03
complejo_habitacional_virgen_de_fatima,2024-07,-6.252136814582933,-14.73325749910436,8.481120684521427,-0.1535391410058402,7,7,0.1.0,2026-04-28T09:51:04
complejo_habitacional_virgen_de_fatima,2025-07,-6.058463174917757,-14.504723526116072,8.446260351198315,0.19367363966517548,8,8,0.1.0,2026-04-28T09:51:05
complejo_habitacional_virgen_de_fatima,2026-07,,,,,0,0,0.1.0,2026-04-28T09:51:07
dm_itaembe_mini_este,2018-07,-7.40679844390635,-15.870210455431222,8.463412011524872,,8,8,0.1.0,2026-05-08T23:48:31
dm_itaembe_mini_este,2019-07,-6.993170918424579,-15.377968514014588,8.384797595590008,0.41362752548177095,2,2,0.1.0,2026-05-08T23:48:32
dm_itaembe_mini_este,2020-07,-5.696362497382788,-14.603601343990755,8.907238846607967,1.2968084210417912,6,6,0.1.0,2026-05-08T23:48:33
dm_itaembe_mini_este,2021-07,-7.0177319899699295,-15.50824833284295,8.49051634287302,-1.3213694925871415,7,7,0.1.0,2026-05-08T23:48:34
dm_itaembe_mini_este,2022-07,-6.811948278863625,-15.095650398258456,8.283702119394832,0.20578371110630478,3,3,0.1.0,2026-05-08T23:48:36
dm_itaembe_mini_este,2023-07,-6.59138183090326,-14.913189430079687,8.321807599176427,0.22056644796036462,7,7,0.1.0,2026-05-08T23:48:37
dm_itaembe_mini_este,2024-07,-6.555135747561229,-14.842505661035952,8.287369913474723,0.03624608334203128,7,7,0.1.0,2026-05-08T23:48:38
dm_itaembe_mini_este,2025-07,-6.327899190705501,-14.578037601111717,8.250138410406215,0.2272365568557282,8,8,0.1.0,2026-05-08T23:48:39
dm_itaembe_mini_este,2026-07,,,,,0,0,0.1.0,2026-05-08T23:48:40
dm_itaembe_mini_este_suroeste,2018-07,-7.204397950917767,-17.17625295145606,9.971855000538294,,8,8,0.1.0,2026-05-08T23:50:44
dm_itaembe_mini_este_suroeste,2019-07,-6.60912778328319,-16.54353824717664,9.934410463893451,0.5952701676345766,2,2,0.1.0,2026-05-08T23:50:45
dm_itaembe_mini_este_suroeste,2020-07,-4.487040808498666,-15.602456450544778,11.115415642046113,2.1220869747845246,6,6,0.1.0,2026-05-08T23:50:46
dm_itaembe_mini_este_suroeste,2021-07,-6.690703506361392,-16.641244704706633,9.950541198345242,-2.2036626978627263,7,7,0.1.0,2026-05-08T23:50:47
dm_itaembe_mini_este_suroeste,2022-07,-6.5787062805891985,-16.171624049479917,9.592917768890718,0.11199722577219351,3,3,0.1.0,2026-05-08T23:50:48
dm_itaembe_mini_este_suroeste,2023-07,-5.987083234046272,-15.87272590439187,9.885642670345598,0.5916230465429262,7,7,0.1.0,2026-05-08T23:50:48
dm_itaembe_mini_este_suroeste,2024-07,-5.854975248728142,-15.861717388621294,10.006742139893152,0.13210798531813062,7,7,0.1.0,2026-05-08T23:50:49
dm_itaembe_mini_este_suroeste,2025-07,-5.379124079601469,-15.625611131151622,10.246487051550153,0.47585116912667225,8,8,0.1.0,2026-05-08T23:50:50
dm_itaembe_mini_este_suroeste,2026-07,,,,,0,0,0.1.0,2026-05-08T23:50:51
dm_miguel_lanus,2018-07,-10.538271682581815,-17.19147688047189,6.653205197890074,,8,8,0.1.0,2026-05-08T23:48:40
